block,raintreat,comp,brc,datetime,temp
6,C,B,6CB,01-16-2025 10:32:45,14.927
6,D,B,6DB,01-16-2025 10:32:45,18.444
6,W,A,6WA,01-16-2025 10:32:45,15.742
8,C,A,8CA,01-16-2025 10:32:45,17.2
8,D,A,8DA,01-16-2025 10:32:45,19.431
8,W,B,8WB,01-16-2025 10:32:45,15.913
10,C,A,10CA,01-16-2025 10:32:45,15.398
10,D,B,10DB,01-16-2025 10:32:45,17.844
10,W,B,10WB,01-16-2025 10:32:45,16.342
11,AMB,,DSWS,01-16-2025 10:32:45,15.27
12,AMB,,USWS,01-16-2025 10:32:45,16.171
1,C,A,1CA,01-16-2025 11:02:46,17.93
1,D,B,1DB,01-16-2025 11:02:46,23.292
1,W,B,1WB,01-16-2025 11:02:46,17.286
2,C,B,2CB,01-16-2025 11:02:46,17.715
2,D,B,2DB,01-16-2025 11:02:46,22.177
2,W,A,2WA,01-16-2025 11:02:46,17.629
4,C,B,4CB,01-16-2025 11:02:46,22.005
4,D,A,4DA,01-16-2025 11:02:46,17.501
4,W,B,4WB,01-16-2025 11:02:46,17.801
6,C,B,6CB,01-16-2025 11:02:46,16.299
6,D,B,6DB,01-16-2025 11:02:46,16.514
6,W,A,6WA,01-16-2025 11:02:46,16.814
