block,raintreat,comp,brc,datetime,temp
4,D,A,4DA,04-07-2025 13:37:35,27.84
4,W,B,4WB,04-07-2025 13:37:35,27.368
6,C,B,6CB,04-07-2025 13:37:35,23.678
6,D,B,6DB,04-07-2025 13:37:35,23.035
6,W,A,6WA,04-07-2025 13:37:35,23.163
8,C,A,8CA,04-07-2025 13:37:35,22.992
8,D,A,8DA,04-07-2025 13:37:35,21.104
8,W,B,8WB,04-07-2025 13:37:35,20.761
10,C,A,10CA,04-07-2025 13:37:35,22.048
10,D,B,10DB,04-07-2025 13:37:35,20.375
10,W,B,10WB,04-07-2025 13:37:35,21.447
11,AMB,,DSWS,04-07-2025 13:37:35,22.52
12,AMB,,USWS,04-07-2025 13:37:35,22.305
1,C,A,1CA,04-07-2025 14:07:36,23.721
1,D,B,1DB,04-07-2025 14:07:36,20.718
1,W,B,1WB,04-07-2025 14:07:36,20.632
2,C,B,2CB,04-07-2025 14:07:36,23.421
2,D,B,2DB,04-07-2025 14:07:36,23.292
2,W,A,2WA,04-07-2025 14:07:36,23.807
4,C,B,4CB,04-07-2025 14:07:36,20.976
4,D,A,4DA,04-07-2025 14:07:36,23.121
4,W,B,4WB,04-07-2025 14:07:36,24.45
6,C,B,6CB,04-07-2025 14:07:36,21.233
6,D,B,6DB,04-07-2025 14:07:36,21.533
6,W,A,6WA,04-07-2025 14:07:36,21.49
8,C,A,8CA,04-07-2025 14:07:36,21.962
8,D,A,8DA,04-07-2025 14:07:36,20.804
8,W,B,8WB,04-07-2025 14:07:36,18.273
10,C,A,10CA,04-07-2025 14:07:36,19.603
10,D,B,10DB,04-07-2025 14:07:36,19.817
10,W,B,10WB,04-07-2025 14:07:36,19.903
11,AMB,,DSWS,04-07-2025 14:07:36,18.959
12,AMB,,USWS,04-07-2025 14:07:36,19.903
1,C,A,1CA,04-07-2025 14:37:37,24.45
1,D,B,1DB,04-07-2025 14:37:37,20.933
1,W,B,1WB,04-07-2025 14:37:37,20.589
2,C,B,2CB,04-07-2025 14:37:37,25.051
2,D,B,2DB,04-07-2025 14:37:37,24.579
2,W,A,2WA,04-07-2025 14:37:37,25.995
4,C,B,4CB,04-07-2025 14:37:37,22.82
4,D,A,4DA,04-07-2025 14:37:37,24.751
4,W,B,4WB,04-07-2025 14:37:37,25.737
6,C,B,6CB,04-07-2025 14:37:37,22.82
6,D,B,6DB,04-07-2025 14:37:37,22.005
6,W,A,6WA,04-07-2025 14:37:37,22.563
8,C,A,8CA,04-07-2025 14:37:37,21.018
8,D,A,8DA,04-07-2025 14:37:37,20.804
8,W,B,8WB,04-07-2025 14:37:37,19.431
10,C,A,10CA,04-07-2025 14:37:37,20.718
10,D,B,10DB,04-07-2025 14:37:37,20.203
10,W,B,10WB,04-07-2025 14:37:37,20.461
11,AMB,,DSWS,04-07-2025 14:37:37,19.817
12,AMB,,USWS,04-07-2025 14:37:37,20.976
1,C,A,1CA,04-07-2025 15:07:38,19.002
1,D,B,1DB,04-07-2025 15:07:38,17.415
1,W,B,1WB,04-07-2025 15:07:38,17.329
2,C,B,2CB,04-07-2025 15:07:38,19.174
2,D,B,2DB,04-07-2025 15:07:38,19.56
2,W,A,2WA,04-07-2025 15:07:38,19.689
4,C,B,4CB,04-07-2025 15:07:38,18.101
4,D,A,4DA,04-07-2025 15:07:38,19.174
4,W,B,4WB,04-07-2025 15:07:38,20.246
6,C,B,6CB,04-07-2025 15:07:38,18.487
6,D,B,6DB,04-07-2025 15:07:38,17.801
6,W,A,6WA,04-07-2025 15:07:38,18.058
8,C,A,8CA,04-07-2025 15:07:38,17.114
8,D,A,8DA,04-07-2025 15:07:38,17.072
8,W,B,8WB,04-07-2025 15:07:38,16.986
10,C,A,10CA,04-07-2025 15:07:38,17.372
10,D,B,10DB,04-07-2025 15:07:38,17.029
10,W,B,10WB,04-07-2025 15:07:38,17.415
11,AMB,,DSWS,04-07-2025 15:07:38,17.029
12,AMB,,USWS,04-07-2025 15:07:38,17.114
1,C,A,1CA,04-07-2025 15:37:39,24.279
1,D,B,1DB,04-07-2025 15:37:39,20.718
1,W,B,1WB,04-07-2025 15:37:39,21.576
2,C,B,2CB,04-07-2025 15:37:39,24.751
2,D,B,2DB,04-07-2025 15:37:39,22.005
2,W,A,2WA,04-07-2025 15:37:39,24.322
4,C,B,4CB,04-07-2025 15:37:39,22.563
4,D,A,4DA,04-07-2025 15:37:39,25.394
4,W,B,4WB,04-07-2025 15:37:39,25.566
6,C,B,6CB,04-07-2025 15:37:39,22.52
6,D,B,6DB,04-07-2025 15:37:39,21.705
6,W,A,6WA,04-07-2025 15:37:39,21.362
8,C,A,8CA,04-07-2025 15:37:39,20.675
8,D,A,8DA,04-07-2025 15:37:39,19.86
8,W,B,8WB,04-07-2025 15:37:39,20.289
10,C,A,10CA,04-07-2025 15:37:39,21.405
10,D,B,10DB,04-07-2025 15:37:39,19.56
10,W,B,10WB,04-07-2025 15:37:39,19.774
11,AMB,,DSWS,04-07-2025 15:37:39,20.89
12,AMB,,USWS,04-07-2025 15:37:39,20.89
1,C,A,1CA,04-07-2025 16:07:40,21.405
1,D,B,1DB,04-07-2025 16:07:40,18.873
1,W,B,1WB,04-07-2025 16:07:40,18.573
2,C,B,2CB,04-07-2025 16:07:40,21.319
2,D,B,2DB,04-07-2025 16:07:40,21.233
2,W,A,2WA,04-07-2025 16:07:40,21.662
4,C,B,4CB,04-07-2025 16:07:40,20.289
4,D,A,4DA,04-07-2025 16:07:40,21.018
4,W,B,4WB,04-07-2025 16:07:40,22.563
6,C,B,6CB,04-07-2025 16:07:40,19.731
6,D,B,6DB,04-07-2025 16:07:40,20.075
6,W,A,6WA,04-07-2025 16:07:40,19.989
8,C,A,8CA,04-07-2025 16:07:40,19.217
8,D,A,8DA,04-07-2025 16:07:40,18.659
8,W,B,8WB,04-07-2025 16:07:40,18.187
10,C,A,10CA,04-07-2025 16:07:40,18.616
10,D,B,10DB,04-07-2025 16:07:40,18.873
10,W,B,10WB,04-07-2025 16:07:40,18.788
11,AMB,,DSWS,04-07-2025 16:07:40,18.788
12,AMB,,USWS,04-07-2025 16:07:40,18.745
1,C,A,1CA,04-07-2025 16:37:41,21.104
1,D,B,1DB,04-07-2025 16:37:41,18.23
1,W,B,1WB,04-07-2025 16:37:41,19.002
2,C,B,2CB,04-07-2025 16:37:41,20.632
2,D,B,2DB,04-07-2025 16:37:41,20.289
2,W,A,2WA,04-07-2025 16:37:41,23.121
4,C,B,4CB,04-07-2025 16:37:41,19.646
4,D,A,4DA,04-07-2025 16:37:41,21.061
4,W,B,4WB,04-07-2025 16:37:41,22.649
6,C,B,6CB,04-07-2025 16:37:41,19.002
6,D,B,6DB,04-07-2025 16:37:41,18.873
6,W,A,6WA,04-07-2025 16:37:41,19.388
8,C,A,8CA,04-07-2025 16:37:41,17.801
8,D,A,8DA,04-07-2025 16:37:41,17.415
8,W,B,8WB,04-07-2025 16:37:41,17.801
10,C,A,10CA,04-07-2025 16:37:41,17.972
10,D,B,10DB,04-07-2025 16:37:41,17.93
10,W,B,10WB,04-07-2025 16:37:41,18.058
11,AMB,,DSWS,04-07-2025 16:37:41,18.444
12,AMB,,USWS,04-07-2025 16:37:41,19.431
1,C,A,1CA,04-07-2025 17:07:42,18.444
1,D,B,1DB,04-07-2025 17:07:42,16.814
1,W,B,1WB,04-07-2025 17:07:42,16.728
2,C,B,2CB,04-07-2025 17:07:42,18.573
2,D,B,2DB,04-07-2025 17:07:42,18.916
2,W,A,2WA,04-07-2025 17:07:42,19.474
4,C,B,4CB,04-07-2025 17:07:42,17.672
4,D,A,4DA,04-07-2025 17:07:42,18.53
4,W,B,4WB,04-07-2025 17:07:42,19.689
6,C,B,6CB,04-07-2025 17:07:42,17.415
6,D,B,6DB,04-07-2025 17:07:42,17.114
6,W,A,6WA,04-07-2025 17:07:42,17.372
8,C,A,8CA,04-07-2025 17:07:42,16.256
8,D,A,8DA,04-07-2025 17:07:42,16.428
8,W,B,8WB,04-07-2025 17:07:42,16.085
10,C,A,10CA,04-07-2025 17:07:42,16.471
10,D,B,10DB,04-07-2025 17:07:42,16.557
10,W,B,10WB,04-07-2025 17:07:42,16.514
11,AMB,,DSWS,04-07-2025 17:07:42,16.685
12,AMB,,USWS,04-07-2025 17:07:42,16.986
1,C,A,1CA,04-07-2025 17:37:43,19.217
1,D,B,1DB,04-07-2025 17:37:43,17.415
1,W,B,1WB,04-07-2025 17:37:43,17.887
2,C,B,2CB,04-07-2025 17:37:43,18.873
